time_s_,P_C17_bar_,U_P_C17_bar_,TT_TCJ11_celsius_,U_TT_TCJ11_celsius_,P_1_EMPTY_bar_,P_2_EMPTY_bar_,P_A40_bar_,P_4_EMPTY_bar_,P_5_EMPTY_bar_,P_6_EMPTY_bar_,P_P35_bar_,P_R21_bar_,P_Q21_bar_,P_D14_bar_,P_T14_bar_,P_S14_bar_,P_F10_bar_,P_G7_bar_,P_H7_bar_,P_I7_bar_,U_P_1_EMPTY_bar_,U_P_2_EMPTY_bar_,U_P_A40_bar_,U_P_4_EMPTY_bar_,U_P_5_EMPTY_bar_,U_P_6_EMPTY_bar_,U_P_P35_bar_,U_P_R21_bar_,U_P_Q21_bar_,U_P_D14_bar_,U_P_T14_bar_,U_P_S14_bar_,U_P_F10_bar_,U_P_G7_bar_,U_P_H7_bar_,U_P_I7_bar_,Pratio_1_EMPTY,Pratio_2_EMPTY,Pratio_A40,Pratio_4_EMPTY,Pratio_5_EMPTY,Pratio_6_EMPTY,Pratio_P35,Pratio_R21,Pratio_Q21,Pratio_D14,Pratio_T14,Pratio_S14,Pratio_F10,Pratio_G7,Pratio_H7,Pratio_I7,U_Pratio_1_EMPTY,U_Pratio_2_EMPTY,U_Pratio_A40,U_Pratio_4_EMPTY,U_Pratio_5_EMPTY,U_Pratio_6_EMPTY,U_Pratio_P35,U_Pratio_R21,U_Pratio_Q21,U_Pratio_D14,U_Pratio_T14,U_Pratio_S14,U_Pratio_F10,U_Pratio_G7,U_Pratio_H7,U_Pratio_I7,U_Pratio_H7,U_Pratio_I7
1.706728,0.109656,0.011062,19.962427,0.883628,0,0,0.108894,0,0,0,0.109552,0.11039,0.109867,0.110034,0.110035,0.110114,0.110226,0.109917,0.109918,0.109788,0,0,0.03191,0,0,0,0.024362,0.012724,0.016206,0.008825,0.006671,0.013846,0.012603,0.006842,0.019126,0.00681,0,0,0.993050996,0,0,0,0.999051579,1.00669366,1.001924199,1.003447144,1.003456263,1.004176698,1.005198074,1.002380171,1.00238929,1.001203764,0,0,0.307761603,0,0,0,0.243958402,0.154199707,0.179046135,0.129320294,0.118101845,0.161880478,0.153271221,0.118820238,0.201610974,0.118566146,0.201610974,0.118566146
1.807124,0.109912,0.01117,19.959519,0.883725,0,0,0.109367,0,0,0,0.108908,0.109683,0.109702,0.110098,0.110368,0.109858,0.110232,0.110044,0.110089,0.10996,0,0,0.031763,0,0,0,0.024553,0.012544,0.015969,0.008824,0.006879,0.013864,0.012631,0.006853,0.019118,0.006745,0,0,0.995041488,0,0,0,0.99086542,0.997916515,0.998089381,1.001692263,1.004148774,0.999508698,1.00291142,1.001200961,1.001610379,1.000436713,0,0,0.306167573,0,0,0,0.245035273,0.152676554,0.177193259,0.129646625,0.119711879,0.161952041,0.153605494,0.119332841,0.201534406,0.118755896,0.201534406,0.118755896
1.90752,0.110085,0.011166,19.958518,0.883605,0,0,0.10924,0,0,0,0.10965,0.109402,0.109896,0.109954,0.109696,0.11026,0.11001,0.109957,0.110066,0.110025,0,0,0.03213,0,0,0,0.024905,0.012194,0.015998,0.008938,0.00684,0.013993,0.012641,0.00681,0.01911,0.006778,0,0,0.992324113,0,0,0,0.996048508,0.993795703,0.998283145,0.99881001,0.996466367,1.001589681,0.999318708,0.998837262,0.999827406,0.999454967,0,0,0.308733302,0,0,0,0.247768015,0.149768769,0.177121365,0.129829996,0.11864324,0.162720922,0.153166505,0.118705929,0.201045304,0.11860825,0.201045304,0.11860825
2.007916,0.109593,0.011234,19.959231,0.883221,0,0,0.10985,0,0,0,0.109251,0.10927,0.109418,0.109894,0.110025,0.109958,0.110191,0.10992,0.110031,0.109849,0,0,0.031755,0,0,0,0.024622,0.012227,0.016041,0.008754,0.006843,0.01393,0.012649,0.00683,0.019109,0.006742,0,0,1.00234504,0,0,0,0.996879363,0.997052731,0.998403183,1.002746526,1.003941858,1.003330505,1.005456553,1.002983767,1.003996606,1.002335916,0,0,0.307431713,0,0,0,0.246815031,0.15130439,0.178599827,0.130175971,0.120371769,0.163504748,0.154738101,0.120226284,0.202470538,0.119755035,0.202470538,0.119755035
2.108311,0.110042,0.011158,19.960925,0.883674,0,0,0.109633,0,0,0,0.109257,0.109191,0.109956,0.110068,0.110193,0.110024,0.109931,0.109887,0.109958,0.109837,0,0,0.031655,0,0,0,0.024649,0.012242,0.015881,0.008762,0.006646,0.013894,0.012659,0.006846,0.019126,0.006724,0,0,0.996283237,0,0,0,0.99286636,0.992266589,0.99921848,1.000236273,1.001372203,0.999836426,0.998991294,0.998591447,0.999236655,0.998137075,0,0,0.304885449,0,0,0,0.245580244,0.149997633,0.176332061,0.12894319,0.118140974,0.161925693,0.153279055,0.118840011,0.201182616,0.118223954,0.201182616,0.118223954
2.208707,0.10987,0.011288,19.966663,0.883283,0,0,0.109704,0,0,0,0.109639,0.109969,0.109663,0.109819,0.11011,0.110239,0.110209,0.109917,0.110114,0.109994,0,0,0.031527,0,0,0,0.024661,0.012158,0.01603,0.008911,0.006603,0.01382,0.012612,0.006806,0.019106,0.006756,0,0,0.998489124,0,0,0,0.997897515,1.000901065,0.998115955,0.999535815,1.0021844,1.003358515,1.003085465,1.000427778,1.002220806,1.001128607,0,0,0.304734032,0,0,0,0.246762359,0.151061778,0.178332307,0.130857328,0.119219948,0.162629385,0.154264236,0.120007322,0.202094846,0.119834844,0.202094846,0.119834844
2.309103,0.109789,0.011238,19.96234,0.883387,0,0,0.109781,0,0,0,0.10908,0.10965,0.109478,0.109976,0.109978,0.110346,0.110205,0.109889,0.110037,0.109867,0,0,0.032132,0,0,0,0.024581,0.01226,0.015864,0.008923,0.006611,0.013948,0.012627,0.006824,0.019112,0.006732,0,0,0.999927133,0,0,0,0.993542158,0.998733935,0.997167294,1.001703267,1.001721484,1.005073368,1.003789086,1.000910838,1.002258878,1.000710454,0,0,0.310051693,0,0,0,0.245908113,0.151396701,0.176910136,0.130838697,0.118909956,0.163475529,0.154223109,0.119833128,0.202060836,0.119383035,0.202060836,0.119383035
2.409499,0.109921,0.011326,19.963565,0.883053,0,0,0.109284,0,0,0,0.109375,0.109201,0.109848,0.109667,0.110025,0.109855,0.110227,0.109887,0.109926,0.10992,0,0,0.031385,0,0,0,0.024755,0.012367,0.01597,0.008636,0.006855,0.013861,0.012652,0.006842,0.019118,0.006822,0,0,0.994204929,0,0,0,0.995032796,0.993449841,0.999335887,0.99768925,1.000946134,0.999399569,1.002783817,0.999690687,1.000045487,0.999990903,0,0,0.303343999,0,0,0,0.247446612,0.152105864,0.178075057,0.129384257,0.12052383,0.162803967,0.15467434,0.120351945,0.202157351,0.120284441,0.202157351,0.120284441
2.509894,0.109861,0.011315,19.959853,0.882958,0,0,0.109617,0,0,0,0.110025,0.110047,0.109869,0.109901,0.109961,0.11032,0.110099,0.110062,0.110125,0.109967,0,0,0.031994,0,0,0,0.024629,0.012301,0.016146,0.008935,0.006893,0.013846,0.012592,0.006838,0.019131,0.006721,0,0,0.997779012,0,0,0,1.001492795,1.001693048,1.000072819,1.000364096,1.000910241,1.004178007,1.002166374,1.001829585,1.002403037,1.000964856,0,0,0.308822316,0,0,0,0.246774308,0.152252001,0.179467879,0.131263176,0.120680211,0.163035592,0.15424304,0.120501754,0.2024423,0.119878529,0.2024423,0.119878529
2.61029,0.109576,0.011245,19.962034,0.883143,0,0,0.109559,0,0,0,0.10909,0.109225,0.109959,0.1101,0.110053,0.110388,0.110192,0.109769,0.109946,0.110104,0,0,0.031867,0,0,0,0.024751,0.012619,0.01611,0.008741,0.006745,0.013805,0.01261,0.006799,0.019104,0.006774,0,0,0.999844857,0,0,0,0.995564722,0.996796744,1.003495291,1.004782069,1.004353143,1.007410382,1.005621669,1.001761335,1.003376652,1.004818573,0,0,0.308391023,0,0,0,0.247911068,0.154033728,0.179500537,0.130368106,0.120051695,0.162973878,0.154575489,0.120077328,0.202481554,0.120228574,0.202481554,0.120228574
