"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Nu_Tilde","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
58.739,5.371e-06,7.5347e+07,0,2.6868e-05,0.1637,1159.4,1.4174,0,1.3538e-06,1.1574e+06,-2.7026e+16,0,0,0,504.52,0,,0,0,0,0
58.739,5.3705e-06,7.5347e+07,0,2.6868e-05,0.16378,1160,1.3055,0,1.3538e-06,1.1574e+06,-2.7044e+16,0,0,0,504.52,0,,0.16,0.16,0,0
58.738,5.3701e-06,7.5346e+07,0,2.6868e-05,0.16387,1160.6,1.1935,0,1.3537e-06,1.1574e+06,-2.7061e+16,0,0,0,504.52,0,,0.32,0.32,0,0
58.738,5.3697e-06,7.5345e+07,0,2.6868e-05,0.16396,1161.2,1.0816,0,1.3537e-06,1.1574e+06,-2.7078e+16,0,0,0,504.52,0,,0.48,0.48,0,0
58.737,5.3692e-06,7.5345e+07,0,2.6868e-05,0.16404,1161.8,0.96965,0,1.3537e-06,1.1574e+06,-2.7095e+16,0,0,0,504.52,0,,0.64,0.64,0,0
58.737,5.3688e-06,7.5344e+07,0,2.6868e-05,0.16413,1162.4,0.85771,0,1.3537e-06,1.1574e+06,-2.7112e+16,0,0,0,504.52,0,,0.8,0.8,0,0
58.736,5.3683e-06,7.5343e+07,0,2.6868e-05,0.16422,1163,0.74577,0,1.3537e-06,1.1574e+06,-2.713e+16,0,0,0,504.52,0,,0.96,0.96,0,0
58.736,5.3679e-06,7.5343e+07,0,2.6868e-05,0.1643,1163.6,0.63384,0,1.3537e-06,1.1574e+06,-2.7147e+16,0,0,0,504.52,0,,1.12,1.12,0,0
58.735,5.3675e-06,7.5342e+07,0,2.6868e-05,0.16439,1164.3,0.5219,0,1.3536e-06,1.1574e+06,-2.7164e+16,0,0,0,504.52,0,,1.28,1.28,0,0
58.735,5.367e-06,7.5341e+07,0,2.6868e-05,0.16448,1164.9,0.40996,0,1.3536e-06,1.1573e+06,-2.7181e+16,0,0,0,504.52,0,,1.44,1.44,0,0
58.734,5.3666e-06,7.5341e+07,0,2.6868e-05,0.16456,1165.5,0.29803,0,1.3536e-06,1.1573e+06,-2.7199e+16,0,0,0,504.52,0,,1.6,1.6,0,0
58.734,5.3662e-06,7.534e+07,0,2.6868e-05,0.16465,1166.1,0.18609,0,1.3536e-06,1.1573e+06,-2.7216e+16,0,0,0,504.52,0,,1.76,1.76,0,0
58.733,5.3657e-06,7.5339e+07,0,2.6868e-05,0.16474,1166.7,0.074155,0,1.3536e-06,1.1573e+06,-2.7233e+16,0,0,0,504.52,0,,1.92,1.92,0,0
58.732,5.3653e-06,7.5339e+07,0,2.6868e-05,0.16482,1167.3,-0.037782,0,1.3536e-06,1.1573e+06,-2.725e+16,0,0,0,504.52,0,,2.08,2.08,0,0
58.732,5.3648e-06,7.5338e+07,0,2.6868e-05,0.16491,1167.9,-0.14972,0,1.3535e-06,1.1573e+06,-2.7268e+16,0,0,0,504.52,0,,2.24,2.24,0,0
58.731,5.3644e-06,7.5337e+07,0,2.6868e-05,0.165,1168.5,-0.26165,0,1.3535e-06,1.1573e+06,-2.7285e+16,0,0,0,504.52,0,,2.4,2.4,0,0
58.731,5.364e-06,7.5337e+07,0,2.6868e-05,0.16508,1169.1,-0.37359,0,1.3535e-06,1.1573e+06,-2.7302e+16,0,0,0,504.52,0,,2.56,2.56,0,0
58.73,5.3635e-06,7.5336e+07,0,2.6868e-05,0.16517,1169.7,-0.48553,0,1.3535e-06,1.1573e+06,-2.7319e+16,0,0,0,504.52,0,,2.72,2.72,0,0
58.73,5.3631e-06,7.5336e+07,0,2.6868e-05,0.16526,1170.3,-0.59746,0,1.3535e-06,1.1573e+06,-2.7337e+16,0,0,0,504.52,0,,2.88,2.88,0,0
58.729,5.3627e-06,7.5335e+07,0,2.6868e-05,0.16535,1170.9,-0.7094,0,1.3535e-06,1.1573e+06,-2.7354e+16,0,0,0,504.52,0,,3.04,3.04,0,0
58.729,5.3622e-06,7.5334e+07,0,2.6868e-05,0.16543,1171.6,-0.82134,0,1.3534e-06,1.1573e+06,-2.7371e+16,0,0,0,504.52,0,,3.2,3.2,0,0
58.728,5.3618e-06,7.5334e+07,0,2.6868e-05,0.16552,1172.2,-0.93327,0,1.3534e-06,1.1573e+06,-2.7388e+16,0,0,0,504.52,0,,3.36,3.36,0,0
58.728,5.3613e-06,7.5333e+07,0,2.6868e-05,0.16561,1172.8,-1.0452,0,1.3534e-06,1.1572e+06,-2.7406e+16,0,0,0,504.52,0,,3.52,3.52,0,0
