"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -1.196125477,       0.619222068,      0.4387429706,       4.905585681,      -5.695921692
          0,           0,           1,      -1.292100421,      0.5573356566,       0.350309048,       4.810238731,      -5.698618368
          0,           0,           2,       -1.39749536,      0.3971517959,      0.1779720993,       4.705517298,      -5.701443414
          0,           0,           3,      -1.491562375,       0.163895192,    -0.07808045079,        4.61209205,      -5.704506553
          0,           0,           4,      -1.573203512,      0.1743165193,     -0.2437516955,       4.531280049,      -5.707909479
          0,           0,           5,      -1.684764901,      0.1915440657,     -0.1827690196,         4.4209863,      -5.711808888
          0,           0,           6,      -1.825162363,      0.2027140621,     -0.1714195811,       4.286218988,      -5.716384016
          0,           0,           7,      -1.943844426,      0.1470883336,     -0.2972793795,       4.155441333,      -5.721782947
          0,           0,           8,      -2.060890019,      0.1319723241,     -0.3018870775,       4.050610273,      -5.728604798
          0,           0,           9,      -2.147228556,      0.1181197481,      -0.385123183,       3.960104399,      -5.737348117
          0,           0,          10,      -2.258787047,      0.1074643633,      -0.481734054,       3.850736432,      -5.748697121
          0,           0,          11,      -2.366678324,      0.1213258306,     -0.5762446148,       3.742372277,      -5.762337145
          0,           0,          12,      -2.413934598,      0.1367670408,      -0.627314768,       3.698450754,      -5.776242141
          0,           0,          13,      -2.443990997,      0.1239748195,     -0.6531360303,        3.66795518,      -5.788827744
          0,           0,          14,      -2.471403201,       0.113211588,     -0.6895648658,       3.640233683,      -5.799937258
          0,           0,          15,       -2.48672034,      0.1186952202,     -0.7286245207,       3.624046209,      -5.809185595
          0,           0,          16,      -2.478879776,      0.1387426021,       -0.75044335,       3.633295009,      -5.815807633
          0,           0,          17,      -2.470549694,      0.1377344142,     -0.7496003844,       3.641722021,      -5.819916082
          0,           0,          18,      -2.469644159,      0.1325711873,     -0.7406441567,        3.64120793,      -5.821283579
          0,           0,          19,       -2.46851719,      0.1410925589,     -0.7490754968,       3.642829009,      -5.820029834
          0,           0,          20,      -2.467524549,      0.1421503169,     -0.7561601375,       3.643521115,      -5.816378538
          0,           0,          21,       -2.48160462,      0.1263057086,     -0.7681678368,       3.628886757,      -5.810791567
          0,           0,          22,      -2.502589456,      0.1118416532,     -0.7653113605,       3.607442459,      -5.804182333
          0,           0,          23,      -2.515057724,      0.1153931262,     -0.7663429373,       3.593908542,       -5.79702823
          0,           0,          24,       -2.50731635,      0.1344003316,     -0.7738938675,       3.602686269,      -5.789744803
          0,           0,          25,      -2.496877727,      0.1367996095,     -0.7826896554,       3.613125619,      -5.782495866
          0,           0,          26,      -2.490175503,      0.1407299133,     -0.7911780296,       3.618470264,       -5.77526761
          0,           0,          27,      -2.481861266,      0.1497387714,     -0.7978563785,        3.62807322,      -5.767952195
          0,           0,          28,      -2.485205006,      0.1404264345,     -0.7939204601,       3.623684106,      -5.760202107
          0,           0,          29,      -2.498597889,      0.1198065233,      -0.793584958,       3.608545104,       -5.75051051
          0,           0,          30,      -2.525149287,     0.09667025007,     -0.8063053487,       3.581279655,      -5.738642356
          0,           0,          31,      -2.543528364,      0.1004340567,     -0.8024055909,        3.56445112,      -5.725320231
          0,           0,          32,      -2.536077153,      0.1106544807,     -0.8145556751,       3.574844826,      -5.711459597
          0,           0,          33,      -2.543004152,     0.09593110787,     -0.8217212615,       3.568489855,      -5.697538559
          0,           0,          34,      -2.549581642,     0.09007533754,     -0.8294030254,       3.557016138,      -5.683728418
          0,           0,          35,      -2.555268345,      0.0961615369,     -0.8427181994,       3.555101294,      -5.669860299
          0,           0,          36,      -2.560879386,     0.08741509595,     -0.8201303083,       3.552190369,      -5.655863506
          0,           0,          37,      -2.578207211,     0.06581670518,     -0.7976411078,       3.532277862,      -5.641936586
          0,           0,          38,      -2.599276741,     0.05402194468,     -0.8205988086,       3.510692452,      -5.628217083
          0,           0,          39,      -2.611226814,     0.05108500132,     -0.8373538713,       3.502022278,      -5.614862593
          0,           0,          40,      -2.636940596,     0.01869926073,     -0.8478519687,       3.478068344,      -5.602318281
          0,           0,          41,      -2.679015574,    -0.02398521173,     -0.8563478078,       3.434049462,      -5.590109645
          0,           0,          42,      -2.706600738,    -0.04328506007,     -0.8640390927,       3.404492412,      -5.578335019
          0,           0,          43,       -2.70461393,    -0.01415910562,     -0.8654816112,       3.410139466,      -5.567274161
          0,           0,          44,      -2.670067314,     0.02711529944,     -0.8621983319,       3.448064729,      -5.557149611
          0,           0,          45,      -2.644835287,     0.03899876679,     -0.8581769298,       3.476372359,      -5.548076614
          0,           0,          46,      -2.633411813,     0.04560713283,     -0.8583955104,       3.484376928,      -5.540052934
          0,           0,          47,      -2.607182174,     0.07876435601,     -0.8640310674,       3.508819175,       -5.53299275
          0,           0,          48,      -2.585450101,     0.09517896477,     -0.8771168891,       3.529990612,      -5.526818636
          0,           0,          49,        -2.5892654,     0.08028495679,     -0.8617633332,       3.524520705,       -5.52142277
          0,           0,          50,      -2.601077102,     0.06845859331,     -0.8520942114,       3.510828892,      -5.516664524
          0,           0,          51,      -2.604525629,     0.07246559999,     -0.8548638734,       3.508724098,       -5.51242636
          0,           0,          52,      -2.610951695,     0.06348354693,     -0.8611718471,       3.503448236,      -5.508399701
          0,           0,          53,      -2.627747821,     0.04545871644,     -0.8608412907,       3.485440164,      -5.504325931
          0,           0,          54,      -2.622774688,     0.05649456551,     -0.8703443279,       3.488538715,      -5.500169302
          0,           0,          55,      -2.597286538,     0.07647573042,     -0.8735403821,       3.513657251,      -5.496048402
          0,           0,          56,       -2.58789263,     0.07395072115,     -0.8556400608,        3.52183701,      -5.491968886
          0,           0,          57,      -2.592590598,     0.06959751548,     -0.8512128766,       3.516468058,      -5.487755003
          0,           0,          58,      -2.591791608,     0.07334487745,     -0.8557586108,       3.517053474,      -5.483348306
