Time_Iter,Outer_Iter,Inner_Iter,rms[Rho],rms[RhoU],rms[RhoV],rms[RhoE],rms[nu],
,0,0,24,-2.065039538,-0.2359236827,-0.5493971641,4.033851966,-10.14323044
,0,0,25,-2.075044399,-0.2462746232,-0.5585323228,4.023793713,-10.15522085
,0,0,26,-2.08372866,-0.256274404,-0.5677514638,4.014959118,-10.16661893
,0,0,27,-2.092794835,-0.2658160821,-0.57782127,4.005757373,-10.17727872
,0,0,28,-2.100670239,-0.2747797789,-0.5864560305,3.997851237,-10.18741141
,0,0,29,-2.108392646,-0.2832639374,-0.5960136567,3.990131541,-10.19694428
,0,0,30,-2.115666781,-0.2916010015,-0.6060879332,3.982769804,-10.2059625
,0,0,31,-2.122331545,-0.2992256634,-0.6162664471,3.976055082,-10.214587
,0,0,32,-2.12915673,-0.3068878116,-0.6260399309,3.969166561,-10.22278655
,0,0,33,-2.135283689,-0.3141365985,-0.63552101,3.962929109,-10.23063306
,0,0,34,-2.141156583,-0.3209947143,-0.643988144,3.956951609,-10.23819429
,0,0,35,-2.146867718,-0.3277437457,-0.6514784003,3.951156844,-10.24549438
,0,0,36,-2.15254247,-0.334347776,-0.657716865,3.945447014,-10.25258146
,0,0,37,-2.157793978,-0.3406324979,-0.6553971382,3.940060102,-10.25949451
,0,0,38,-2.163494201,-0.3465811302,-0.66519556,3.934239682,-10.26609464
,0,0,39,-2.167971604,-0.3527373431,-0.667968467,3.929683007,-10.27217868
,0,0,40,-2.173820468,-0.3587246001,-0.6706027292,3.923799785,-10.278624
,0,0,41,-2.178763127,-0.3642184867,-0.6715109854,3.918786555,-10.2845902
,0,0,42,-2.183664253,-0.3696839893,-0.6732500385,3.913591896,-10.29039989
,0,0,43,-2.188690024,-0.3747940636,-0.6735597668,3.90870395,-10.29602818
,0,0,44,-2.193405016,-0.3795410081,-0.6767374997,3.903983124,-10.30144342
,0,0,45,-2.19787394,-0.3830269851,-0.6796184633,3.899524025,-10.30655449
,0,0,46,-2.20209962,-0.3866477592,-0.6832281352,3.895209849,-10.31142508
,0,0,47,-2.206162777,-0.3920792163,-0.6872791446,3.891126384,-10.31585534
,0,0,48,-2.209950226,-0.3972285687,-0.6924309947,3.887254083,-10.32009215
,0,0,49,-2.213691417,-0.4019292055,-0.6979544884,3.88346399,-10.32397323
,0,0,50,-2.21706236,-0.4060117838,-0.7043711421,3.880055396,-10.32764406
,0,0,51,-2.220307934,-0.4086333391,-0.7110403556,3.876709875,-10.33092821
,0,0,52,-2.22358496,-0.4126056173,-0.7186828266,3.873389352,-10.33409552
,0,0,53,-2.226788656,-0.4167248863,-0.7263589852,3.870153857,-10.33690208
,0,0,54,-2.229847038,-0.4187182656,-0.7347229659,3.867033696,-10.33959205
,0,0,55,-2.232906005,-0.4221231693,-0.7432298188,3.863917773,-10.34196476
,0,0,56,-2.235795795,-0.4267584302,-0.7523926182,3.861009945,-10.3442783
,0,0,57,-2.238730082,-0.4311114534,-0.7615534751,3.858025383,-10.3462274
,0,0,58,-2.241434831,-0.4347916687,-0.7716520739,3.855253985,-10.34812962
,0,0,59,-2.244199994,-0.4380633592,-0.7814773854,3.85246692,-10.34969267
,0,0,60,-2.246689639,-0.4393644434,-0.7919777967,3.849913043,-10.3512917
,0,0,61,-2.249278707,-0.4435369051,-0.8023580886,3.847271076,-10.35258481
,0,0,62,-2.251630193,-0.4471975734,-0.8128029666,3.844856849,-10.35392931
,0,0,63,-2.254035077,-0.4505210143,-0.8231156609,3.842428469,-10.35505344
,0,0,64,-2.256048862,-0.4537660587,-0.8321510716,3.840312833,-10.35621376
,0,0,65,-2.258272853,-0.4575292448,-0.8416951936,3.838077191,-10.35729641
,0,0,66,-2.260456907,-0.4596375054,-0.8492564416,3.835874058,-10.35849075
,0,0,67,-2.262858903,-0.4632101389,-0.8566901751,3.833466594,-10.35968855
,0,0,68,-2.265304056,-0.4664068087,-0.862141334,3.830957853,-10.36099737
,0,0,69,-2.267691711,-0.4702732012,-0.8662133169,3.828554387,-10.3622954
,0,0,70,-2.270081328,-0.4738353778,-0.8673175055,3.826115993,-10.36370807
,0,0,71,-2.272559917,-0.4757953827,-0.8672381783,3.823610385,-10.3650881
,0,0,72,-2.274238512,-0.4776663348,-0.8651822613,3.821449932,-10.36660874
,0,0,73,-2.277047896,-0.4815494644,-0.863791479,3.818712697,-10.36799074
,0,0,74,-2.279507245,-0.4856473271,-0.859257701,3.816468854,-10.36939979
,0,0,75,-2.28214014,-0.4887137329,-0.8566028508,3.813746231,-10.37073
,0,0,76,-2.284549933,-0.4913313192,-0.8518977713,3.811050763,-10.37210176
,0,0,77,-2.28697581,-0.4935696016,-0.8487990287,3.808590372,-10.37324029
,0,0,78,-2.289502938,-0.494815103,-0.8438401739,3.806298061,-10.37432346
,0,0,79,-2.291900288,-0.4993501562,-0.8421239393,3.803823001,-10.37520455
,0,0,80,-2.294193692,-0.5023296925,-0.8384033167,3.801503134,-10.37599609
,0,0,81,-2.29640347,-0.5049995059,-0.8377321195,3.799260422,-10.37652994
,0,0,82,-2.298652698,-0.5075939112,-0.83543106,3.796972802,-10.3769985
,0,0,83,-2.300678802,-0.5079614565,-0.8363254832,3.794905738,-10.37710891
,0,0,84,-2.302771026,-0.5117473492,-0.8353506103,3.792772146,-10.37713821
,0,0,85,-2.304617163,-0.5141688366,-0.8372640374,3.790874391,-10.37686689
,0,0,86,-2.306473548,-0.5165011911,-0.8377630683,3.788979415,-10.37653249
,0,0,87,-2.308199573,-0.5189000941,-0.8405290175,3.787203197,-10.37585794
,0,0,88,-2.309933271,-0.519846608,-0.842067407,3.78542277,-10.37508884
,0,0,89,-2.311503447,-0.5224547273,-0.8458206971,3.783804007,-10.37398139
,0,0,90,-2.313142822,-0.5238960186,-0.8483846987,3.782116056,-10.37279633
,0,0,91,-2.314602052,-0.5258412955,-0.8525955316,3.780610498,-10.37128725
,0,0,92,-2.316238081,-0.5281487516,-0.8561652343,3.778909253,-10.36970918
,0,0,93,-2.317657954,-0.5310598715,-0.860586529,3.777457366,-10.36774675
,0,0,94,-2.319257805,-0.5326731006,-0.8646856941,3.775864992,-10.36570616
,0,0,95,-2.320604126,-0.5346624084,-0.8693825157,3.774469447,-10.36328364
,0,0,96,-2.322092243,-0.5352969234,-0.8737449003,3.772965216,-10.36082343
,0,0,97,-2.323336155,-0.5370105293,-0.8783886274,3.771675475,-10.35791682
,0,0,98,-2.324765485,-0.5397404851,-0.8827303118,3.770241657,-10.3549584
,0,0,99,-2.325999224,-0.5418468369,-0.8869838454,3.768949762,-10.35157751
,0,0,100,-2.327461666,-0.5439163298,-0.8909915095,3.767491131,-10.34817856
,0,0,101,-2.328717473,-0.5462700529,-0.8949295182,3.766171441,-10.34429647
,0,0,102,-2.330159099,-0.5480035864,-0.8987639171,3.764711362,-10.34035212
,0,0,103,-2.331428539,-0.5483920721,-0.9022559371,3.763376328,-10.33591902
,0,0,104,-2.332842204,-0.5503916827,-0.9059011077,3.761950838,-10.33145218
,0,0,105,-2.33407591,-0.551441327,-0.9090803559,3.760653924,-10.32647158
,0,0,106,-2.335398221,-0.5529618908,-0.9125553294,3.759311617,-10.32142731
,0,0,107,-2.33663833,-0.5549063484,-0.9152952166,3.757989278,-10.31584479
,0,0,108,-2.338012807,-0.5562190757,-0.9184867832,3.756608467,-10.31021514
,0,0,109,-2.339250553,-0.5578063419,-0.9209015769,3.755305733,-10.30405679
,0,0,110,-2.340592481,-0.5581930373,-0.9236938647,3.753950626,-10.29782398
,0,0,111,-2.341830038,-0.5593843646,-0.9257226609,3.752652042,-10.29101003
,0,0,112,-2.343091818,-0.5600678579,-0.9283187328,3.751370929,-10.284146
,0,0,113,-2.344308615,-0.5614550802,-0.9301054423,3.750108255,-10.2767437
,0,0,114,-2.345508444,-0.5630383411,-0.9328804777,3.748878147,-10.26933481
,0,0,115,-2.346699807,-0.5641403829,-0.9349868056,3.74764052,-10.26137205
,0,0,116,-2.347855129,-0.5651074664,-0.9378698002,3.746444446,-10.25337957
,0,0,117,-2.349000121,-0.5664926621,-0.9401503984,3.745252986,-10.24491657
,0,0,118,-2.350120602,-0.5680801864,-0.9433179447,3.74408221,-10.23648409
,0,0,119,-2.351234161,-0.5698385933,-0.9458898578,3.742932556,-10.22759668
,0,0,120,-2.352269851,-0.5714638139,-0.9492114825,3.741863345,-10.21875828
,0,0,121,-2.353290985,-0.5721339148,-0.9521204734,3.740811555,-10.20958343
,0,0,122,-2.354235216,-0.5727645543,-0.9554451047,3.739833711,-10.2005151
,0,0,123,-2.35520421,-0.5742763772,-0.9583984298,3.738851716,-10.19114519
,0,0,124,-2.356090711,-0.5759669801,-0.9616159438,3.737919442,-10.18192279
,0,0,125,-2.357029412,-0.5774655134,-0.9646532917,3.736973033,-10.17250793
,0,0,126,-2.357945754,-0.5797153638,-0.9676787929,3.736038401,-10.16327736
,0,0,127,-2.358848219,-0.5812382218,-0.9705989784,3.735126846,-10.15391034
,0,0,128,-2.359795769,-0.5820561753,-0.9733375264,3.73415383,-10.14478667
,0,0,129,-2.360656753,-0.584627663,-0.9760313482,3.733284152,-10.13560463
,0,0,130,-2.36158368,-0.5865570638,-0.9783983719,3.732315987,-10.12669922
,0,0,131,-2.362379172,-0.5873883958,-0.9805807019,3.731521006,-10.11778545
,0,0,132,-2.363299384,-0.589573011,-0.9822022432,3.73057902,-10.10916141
,0,0,133,-2.364081128,-0.5919107801,-0.9839233874,3.72978971,-10.10058939
,0,0,134,-2.364979789,-0.5934607141,-0.9849188096,3.728875993,-10.09232145
,0,0,135,-2.365719772,-0.59503943,-0.9861563943,3.72811713,-10.08409429
,0,0,136,-2.366588307,-0.5982758049,-0.9864693256,3.727230281,-10.07613795
,0,0,137,-2.367285701,-0.5998395919,-0.9872543359,3.726510209,-10.06826445
,0,0,138,-2.36807874,-0.6014035503,-0.9871207239,3.725703019,-10.06063745
,0,0,139,-2.368701331,-0.6046809682,-0.9875527623,3.725058013,-10.05305243
,0,0,140,-2.369433903,-0.6071059502,-0.9868429164,3.724313371,-10.04566915
,0,0,141,-2.370002727,-0.6083577926,-0.9870440925,3.723728026,-10.03832738
,0,0,142,-2.370642287,-0.6120715466,-0.9861367104,3.723080026,-10.03114092
,0,0,143,-2.371130641,-0.6146017603,-0.9862599825,3.722582479,-10.02396142
,0,0,144,-2.371666052,-0.6174852972,-0.9851416595,3.722042347,-10.0168839
