"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Nu_Tilde","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
90.03,4.7193e-06,1.1364e+08,0,2.6841e-05,0.10112,849.13,-3.0632,0,8.5311e-07,1.396e+06,-1.1062e+16,0,0,0,503.76,0,,0.005412,0.005412,0,0
90.026,4.7248e-06,1.1363e+08,0,2.684e-05,0.10144,851.78,-3.1935,0,8.534e-07,1.3959e+06,-1.1141e+16,0,0,0,503.76,0,,0.0055924,0.0055924,0,0
90.023,4.7302e-06,1.1363e+08,0,2.684e-05,0.10176,854.44,-3.3239,0,8.5369e-07,1.3959e+06,-1.122e+16,0,0,0,503.76,0,,0.0057728,0.0057728,0,0
90.02,4.7357e-06,1.1362e+08,0,2.684e-05,0.10208,857.13,-3.4538,0,8.5398e-07,1.3959e+06,-1.13e+16,0,0,0,503.76,0,,0.0059532,0.0059532,0,0
90.015,4.7419e-06,1.1362e+08,0,2.684e-05,0.10251,860.72,-3.5716,0,8.5432e-07,1.3958e+06,-1.1408e+16,0,0,0,503.76,0,,0.0061336,0.0061336,0,0
90.011,4.7482e-06,1.1361e+08,0,2.684e-05,0.10294,864.3,-3.6893,0,8.5465e-07,1.3958e+06,-1.1515e+16,0,0,0,503.76,0,,0.006314,0.006314,0,0
90.006,4.7544e-06,1.1361e+08,0,2.684e-05,0.10337,867.89,-3.8071,0,8.5499e-07,1.3958e+06,-1.1623e+16,0,0,0,503.75,0,,0.0064944,0.0064944,0,0
90.002,4.7607e-06,1.136e+08,0,2.684e-05,0.1038,871.47,-3.9249,0,8.5532e-07,1.3957e+06,-1.173e+16,0,0,0,503.75,0,,0.0066748,0.0066748,0,0
89.997,4.7669e-06,1.1359e+08,0,2.684e-05,0.10422,875.06,-4.0426,0,8.5566e-07,1.3957e+06,-1.1837e+16,0,0,0,503.75,0,,0.0068552,0.0068552,0,0
89.993,4.7731e-06,1.1359e+08,0,2.684e-05,0.10465,878.64,-4.1604,0,8.5599e-07,1.3957e+06,-1.1945e+16,0,0,0,503.75,0,,0.0070356,0.0070356,0,0
89.989,4.7794e-06,1.1358e+08,0,2.684e-05,0.10508,882.23,-4.2782,0,8.5633e-07,1.3956e+06,-1.2052e+16,0,0,0,503.75,0,,0.007216,0.007216,0,0
89.984,4.7856e-06,1.1358e+08,0,2.684e-05,0.10551,885.81,-4.3959,0,8.5666e-07,1.3956e+06,-1.216e+16,0,0,0,503.75,0,,0.0073964,0.0073964,0,0
89.98,4.7919e-06,1.1357e+08,0,2.684e-05,0.10594,889.4,-4.5137,0,8.57e-07,1.3955e+06,-1.2267e+16,0,0,0,503.75,0,,0.0075768,0.0075768,0,0
89.975,4.7981e-06,1.1357e+08,0,2.684e-05,0.10637,892.98,-4.6315,0,8.5733e-07,1.3955e+06,-1.2375e+16,0,0,0,503.75,0,,0.0077572,0.0077572,0,0
89.971,4.8043e-06,1.1356e+08,0,2.684e-05,0.10681,896.61,-4.7492,0,8.5767e-07,1.3955e+06,-1.2483e+16,0,0,0,503.75,0,,0.0079376,0.0079376,0,0
89.965,4.8104e-06,1.1355e+08,0,2.684e-05,0.10736,901.21,-4.8665,0,8.5801e-07,1.3954e+06,-1.2622e+16,0,0,0,503.75,0,,0.008118,0.008118,0,0
89.959,4.8165e-06,1.1355e+08,0,2.684e-05,0.10791,905.8,-4.9838,0,8.5834e-07,1.3954e+06,-1.276e+16,0,0,0,503.75,0,,0.0082984,0.0082984,0,0
