"Density","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.6673,7.7786e+05,0,1.7688e-05,0.14873,187.4,-0.38396,0,3.0923e+05,-2.1701e+16,0,0,0,283.91,0,,5.92,5.92,0,0
3.6672,7.7785e+05,0,1.7688e-05,0.14887,187.57,-0.39415,0,3.0922e+05,-2.1737e+16,0,0,0,283.91,0,,6.08,6.08,0,0
3.6671,7.7784e+05,0,1.7688e-05,0.149,187.74,-0.40434,0,3.0921e+05,-2.1774e+16,0,0,0,283.91,0,,6.24,6.24,0,0
3.6671,7.7783e+05,0,1.7687e-05,0.14914,187.9,-0.41453,0,3.0921e+05,-2.181e+16,0,0,0,283.91,0,,6.4,6.4,0,0
3.667,7.7782e+05,0,1.7687e-05,0.14927,188.07,-0.42472,0,3.092e+05,-2.1847e+16,0,0,0,283.9,0,,6.56,6.56,0,0
3.6669,7.7781e+05,0,1.7687e-05,0.14941,188.24,-0.43491,0,3.0919e+05,-2.1883e+16,0,0,0,283.9,0,,6.72,6.72,0,0
3.6669,7.778e+05,0,1.7687e-05,0.14955,188.41,-0.4451,0,3.0918e+05,-2.192e+16,0,0,0,283.9,0,,6.88,6.88,0,0
3.6668,7.7778e+05,0,1.7687e-05,0.14968,188.57,-0.45529,0,3.0917e+05,-2.1956e+16,0,0,0,283.9,0,,7.04,7.04,0,0
3.6667,7.7777e+05,0,1.7687e-05,0.14982,188.74,-0.46548,0,3.0917e+05,-2.1992e+16,0,0,0,283.89,0,,7.2,7.2,0,0
3.6667,7.7776e+05,0,1.7687e-05,0.14996,188.91,-0.47568,0,3.0916e+05,-2.2029e+16,0,0,0,283.89,0,,7.36,7.36,0,0
3.6666,7.7775e+05,0,1.7687e-05,0.15009,189.07,-0.48587,0,3.0915e+05,-2.2065e+16,0,0,0,283.89,0,,7.52,7.52,0,0
3.6665,7.7774e+05,0,1.7687e-05,0.15023,189.24,-0.49606,0,3.0914e+05,-2.2102e+16,0,0,0,283.89,0,,7.68,7.68,0,0
3.6665,7.7773e+05,0,1.7686e-05,0.15036,189.41,-0.50625,0,3.0913e+05,-2.2138e+16,0,0,0,283.89,0,,7.84,7.84,0,0
3.6664,7.7772e+05,0,1.7686e-05,0.1505,189.58,-0.51644,0,3.0913e+05,-2.2175e+16,0,0,0,283.88,0,,8,8,0,0
3.6663,7.7771e+05,0,1.7686e-05,0.15064,189.74,-0.52663,0,3.0912e+05,-2.2211e+16,0,0,0,283.88,0,,8.16,8.16,0,0
3.6663,7.7769e+05,0,1.7686e-05,0.15077,189.91,-0.53682,0,3.0911e+05,-2.2248e+16,0,0,0,283.88,0,,8.32,8.32,0,0
3.6662,7.7768e+05,0,1.7686e-05,0.15091,190.08,-0.54701,0,3.091e+05,-2.2284e+16,0,0,0,283.88,0,,8.48,8.48,0,0
3.6661,7.7767e+05,0,1.7686e-05,0.15105,190.25,-0.5572,0,3.0909e+05,-2.2321e+16,0,0,0,283.87,0,,8.64,8.64,0,0
3.6661,7.7766e+05,0,1.7686e-05,0.15118,190.41,-0.56739,0,3.0909e+05,-2.2357e+16,0,0,0,283.87,0,,8.8,8.8,0,0
3.666,7.7765e+05,0,1.7686e-05,0.15132,190.58,-0.57759,0,3.0908e+05,-2.2394e+16,0,0,0,283.87,0,,8.96,8.96,0,0
3.6659,7.7764e+05,0,1.7686e-05,0.15145,190.75,-0.58778,0,3.0907e+05,-2.243e+16,0,0,0,283.87,0,,9.12,9.12,0,0
3.6659,7.7763e+05,0,1.7685e-05,0.15159,190.92,-0.59797,0,3.0906e+05,-2.2467e+16,0,0,0,283.87,0,,9.28,9.28,0,0
3.6658,7.7762e+05,0,1.7685e-05,0.15173,191.08,-0.60816,0,3.0905e+05,-2.2503e+16,0,0,0,283.86,0,,9.44,9.44,0,0
3.6657,7.776e+05,0,1.7685e-05,0.15186,191.25,-0.61835,0,3.0905e+05,-2.254e+16,0,0,0,283.86,0,,9.6,9.6,0,0
3.6657,7.7759e+05,0,1.7685e-05,0.152,191.42,-0.62854,0,3.0904e+05,-2.2576e+16,0,0,0,283.86,0,,9.76,9.76,0,0
3.6656,7.7758e+05,0,1.7685e-05,0.15214,191.59,-0.63873,0,3.0903e+05,-2.2613e+16,0,0,0,283.86,0,,9.92,9.92,0,0
3.6655,7.7756e+05,0,1.7685e-05,0.15231,191.8,-0.64903,0,3.0902e+05,-2.2664e+16,0,0,0,283.85,0,,10.08,10.08,0,0
3.6654,7.7754e+05,0,1.7685e-05,0.15252,192.05,-0.65942,0,3.09e+05,-2.273e+16,0,0,0,283.85,0,,10.24,10.24,0,0
3.6653,7.7752e+05,0,1.7685e-05,0.15272,192.3,-0.66982,0,3.0899e+05,-2.2797e+16,0,0,0,283.85,0,,10.4,10.4,0,0
3.6651,7.775e+05,0,1.7684e-05,0.15293,192.56,-0.68022,0,3.0897e+05,-2.2863e+16,0,0,0,283.84,0,,10.56,10.56,0,0
3.665,7.7747e+05,0,1.7684e-05,0.15314,192.81,-0.69061,0,3.0896e+05,-2.293e+16,0,0,0,283.84,0,,10.72,10.72,0,0
3.6649,7.7745e+05,0,1.7684e-05,0.15335,193.06,-0.70101,0,3.0895e+05,-2.2996e+16,0,0,0,283.83,0,,10.88,10.88,0,0
