"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,       -6.47475988,      -6.201013651,      -6.116484845,      -4.757161465,      -9.324761367
          0,           0,          64,      -6.491406971,      -6.215411744,      -6.134314818,      -4.773763505,      -9.326960171
          0,           0,          65,      -6.532182892,      -6.260263133,       -6.19768479,      -4.814861269,      -9.326423202
          0,           0,          66,      -6.564218492,       -6.29866893,      -6.231800783,      -4.847106779,      -9.326154703
          0,           0,          67,      -6.541981847,      -6.274721193,      -6.203270165,      -4.824804934,      -9.325330952
          0,           0,          68,      -6.504554321,      -6.230637156,      -6.159198941,      -4.786965518,      -9.327746042
          0,           0,          69,      -6.544709966,      -6.277033523,      -6.205010079,      -4.827228759,      -9.330462008
          0,           0,          70,      -6.578924781,      -6.316416172,      -6.252892505,      -4.861961134,      -9.332661297
          0,           0,          71,      -6.474357003,      -6.202440888,      -6.117655886,      -4.756837866,      -9.334347898
          0,           0,          72,      -6.507781701,      -6.233436183,      -6.155404973,      -4.790112759,      -9.342785205
          0,           0,          73,       -6.53513964,      -6.259941499,      -6.202319418,      -4.817689524,      -9.349106782
          0,           0,          74,      -6.551649519,      -6.280338047,      -6.219491146,      -4.834294928,      -9.357216601
          0,           0,          75,       -6.53595134,       -6.26511967,      -6.201097391,       -4.81841427,      -9.366032405
          0,           0,          76,      -6.473387469,      -6.197120856,      -6.125047903,      -4.755547642,      -9.377683588
          0,           0,          77,      -6.521007915,      -6.246698307,      -6.177224893,      -4.803339636,      -9.393097288
          0,           0,          78,      -6.556547907,      -6.281569749,      -6.228610664,      -4.839149803,      -9.407017333
          0,           0,          79,      -6.527317633,      -6.254382771,      -6.181967404,      -4.809793406,      -9.423102374
          0,           0,          80,      -6.482610121,       -6.20964603,      -6.118623067,      -4.765009598,      -9.442371512
          0,           0,          81,       -6.51163152,      -6.232147048,      -6.157907058,      -4.793961055,      -9.465177534
          0,           0,          82,      -6.527961985,      -6.247194866,      -6.191783149,      -4.810307856,      -9.486716351
          0,           0,          83,      -6.542706746,      -6.265710771,      -6.215544632,      -4.825101253,      -9.511908736
          0,           0,          84,      -6.517639331,      -6.239167254,      -6.178375295,      -4.799918252,      -9.540794481
          0,           0,          85,      -6.471058062,      -6.191240124,      -6.112090473,      -4.753486075,      -9.567708922
          0,           0,          86,      -6.511947509,      -6.233371952,      -6.163187731,      -4.794250994,      -9.598136424
          0,           0,          87,      -6.529756426,      -6.254573578,      -6.196428999,      -4.812225798,      -9.629041007
          0,           0,          88,      -6.558295198,      -6.285135694,      -6.230877257,      -4.840838857,      -9.663900931
          0,           0,          89,      -6.524752301,      -6.244967652,      -6.175989172,      -4.807316595,      -9.698843286
