x,y
0,0.036
0.037668508,0.006231369
0.037871678,0.006073619
0.038077524,0.005919376
0.038285983,0.005768686
0.038496997,0.005621592
0.038710501,0.005478138
0.038926434,0.005338366
0.039144732,0.005202318
0.03936533,0.005070033
0.039588165,0.00494155
0.03981317,0.004816907
0.040040279,0.00469614
0.040269426,0.004579286
0.040500543,0.004466378
0.040733562,0.00435745
0.040968414,0.004252533
0.041205031,0.004151659
0.041443343,0.004054857
0.04168328,0.003962156
0.041924771,0.003873583
0.042167745,0.003789164
0.042412131,0.003708924
0.042657858,0.003632886
0.042904852,0.003561073
0.043153041,0.003493506
0.043402352,0.003430204
0.043652712,0.003371187
0.043904047,0.003316472
0.044156284,0.003266074
0.044409347,0.003220009
0.044663163,0.003178291
0.044917658,0.00314093
0.045172755,0.003107939
0.045428381,0.003079328
0.04568446,0.003055104
0.045940916,0.003035274
0.046197675,0.003019845
0.046454661,0.003008821
0.046711797,0.003002205
0.04696901,0.003
0.046980388,0.003
0.046991735,0.00300003
0.047003049,0.00300003
0.04701433,0.00300006
0.047025575,0.00300012
0.047036781,0.00300015
0.047047949,0.00300021
0.047059076,0.00300027
0.04707016,0.00300033
0.047081201,0.00300042
0.047092197,0.00300051
0.047103146,0.0030006
0.047114048,0.00300069
0.047124902,0.00300081
0.047135705,0.00300093
0.047146458,0.00300105
0.047157159,0.00300117
0.047167806,0.00300132
0.0471784,0.00300147
0.047188939,0.00300162
0.047199422,0.00300177
0.047209848,0.00300192
0.047220216,0.0030021
0.047230526,0.00300228
0.047240777,0.00300246
0.047250967,0.00300264
0.047261096,0.00300285
0.047271164,0.00300303
0.047281169,0.00300324
0.047291108,0.00300345
0.047300984,0.00300366
0.047310797,0.0030039
0.047320544,0.00300411
0.047330222,0.00300435
0.047339834,0.00300459
0.047349377,0.00300483
0.047358851,0.00300507
0.047368256,0.00300531
0.047377589,0.00300558
0.04738685,0.00300582
0.047396042,0.00300609
0.047405159,0.00300633
0.047414201,0.0030066
0.047423171,0.00300687
0.047432063,0.00300714
0.04744088,0.00300741
0.047449619,0.00300771
0.04745828,0.00300798
0.047466863,0.00300825
0.047475365,0.00300855
0.047483786,0.00300885
0.047492123,0.00300912
0.047500379,0.00300942
0.047508551,0.00300972
0.047516639,0.00300999
0.04752464,0.00301029
0.047532551,0.00301059
0.047540375,0.00301089
0.047548112,0.00301119
0.047555756,0.00301149
0.047563307,0.00301179
0.047570765,0.00301209
0.047578127,0.00301236
0.047585393,0.00301266
0.04759256,0.00301296
0.047599628,0.00301326
0.047606594,0.00301356
0.047613458,0.00301386
0.047620214,0.00301413
0.047626865,0.00301443
0.047633408,0.00301473
0.04763984,0.003015
0.047646155,0.0030153
0.047652356,0.00301557
0.04765844,0.00301584
0.047664401,0.00301614
0.047670239,0.00301641
0.047675951,0.00301668
0.047681531,0.00301692
0.047686979,0.00301719
0.047692289,0.00301746
0.047697455,0.0030177
0.047702477,0.00301794
0.047707346,0.00301818
0.047712062,0.00301842
0.047716613,0.00301863
0.047720996,0.00301887
0.047725202,0.00301908
0.047729225,0.00301929
0.047733053,0.00301947
0.04773668,0.00301965
0.047740085,0.00301983
0.047743259,0.00302001
0.047746181,0.00302016
0.047748824,0.00302028
0.047751158,0.0030204
0.047753132,0.00302052
0.047754665,0.00302058
0.047755604,0.00302064
0.047756381,0.00302067
0.047757881,0.00302076
0.04775984,0.00302085
0.047762171,0.00302097
0.047764817,0.00302112
0.047767748,0.00302127
0.047770937,0.00302145
0.047774366,0.00302163
0.047778023,0.00302184
0.04778189,0.00302205
0.047785961,0.00302226
0.047790227,0.0030225
0.047794679,0.00302274
0.047799311,0.00302301
0.047804117,0.00302325
0.047809091,0.00302355
0.04781423,0.00302382
0.047819528,0.00302412
0.047824982,0.00302445
0.047830589,0.00302475
0.047836346,0.00302511
0.047842247,0.00302544
0.047848295,0.0030258
0.047854481,0.00302616
0.047860808,0.00302652
0.047867273,0.00302691
0.04787387,0.00302733
0.047880602,0.00302772
0.047887466,0.00302814
0.047894459,0.00302859
0.047901581,0.00302901
0.047908829,0.00302946
0.047916203,0.00302994
0.0479237,0.00303042
0.047931323,0.0030309
0.047939066,0.00303141
0.047946929,0.00303192
0.047954915,0.00303243
0.047963018,0.00303297
0.047971238,0.00303351
0.047979578,0.00303408
0.047988035,0.00303465
0.047996606,0.00303525
0.048005291,0.00303585
0.048014093,0.00303645
0.048023009,0.00303708
0.048032039,0.00303771
0.04804118,0.00303837
0.048050435,0.00303903
0.048059801,0.00303972
0.048069278,0.00304041
0.048078866,0.00304113
0.048088565,0.00304185
0.048098375,0.00304257
0.048108293,0.00304332
0.048118322,0.0030441
0.048128462,0.00304488
0.048138707,0.00304569
0.048149063,0.0030465
0.048159527,0.00304731
0.048170102,0.00304815
0.048180782,0.00304902
0.04819157,0.00304989
0.048202466,0.00305079
0.04821347,0.00305172
0.048224582,0.00305265
0.048235799,0.00305358
0.048247127,0.00305454
0.04825856,0.00305553
0.048265772,0.00305616
0.048270098,0.00305652
0.048281735,0.00305754
0.048293465,0.00305856
0.048305288,0.00305958
0.048317207,0.0030606
0.048329219,0.00306165
0.048341324,0.0030627
0.048353522,0.00306375
0.048365816,0.0030648
0.0483782,0.00306588
0.04839068,0.00306693
0.04840325,0.00306801
0.048415916,0.00306912
0.048428672,0.0030702
0.048441524,0.00307131
0.048454466,0.00307239
0.048467501,0.0030735
0.048480629,0.00307464
0.048493853,0.00307575
0.048507167,0.00307689
0.048520574,0.00307803
0.048534074,0.00307917
0.048547667,0.00308031
0.048561353,0.00308148
0.048575132,0.00308262
0.048589004,0.00308379
0.048602969,0.00308496
0.048617027,0.00308616
0.048631181,0.00308733
0.048645428,0.00308853
0.048700976,0.00309315
0.048753947,0.0030975
0.048804857,0.0031017
0.048853886,0.00310566
0.048901139,0.0031095
0.048947033,0.00311316
0.048991508,0.0031167
0.049034882,0.00312012
0.049077026,0.00312342
0.049118243,0.0031266
0.049158506,0.00312972
0.049197926,0.00313272
0.049236572,0.00313566
0.049274393,0.00313848
0.049311548,0.00314127
0.049347983,0.00314397
0.049383869,0.00314658
0.049419104,0.00314916
0.049453754,0.00315165
0.049487861,0.00315408
0.049521467,0.00315648
0.049554584,0.00315879
0.04958723,0.00316107
0.049619432,0.00316329
0.04965119,0.00316548
0.049682507,0.00316761
0.049713386,0.00316968
0.049743845,0.00317172
0.049773995,0.0031737
0.049803713,0.00317565
0.049833047,0.00317754
0.049862075,0.00317943
0.049890665,0.00318126
0.049919021,0.00318303
0.04994693,0.00318477
0.04997462,0.00318651
0.05000189,0.00318819
0.05002889,0.00318981
0.05005559,0.00319143
0.0500819,0.00319299
0.050108,0.00319455
0.05013377,0.00319605
0.05015921,0.00319755
0.05018435,0.00319899
0.05020925,0.0032004
0.05023385,0.00320178
0.05025815,0.00320316
0.05028215,0.00320448
0.05030585,0.00320577
0.05032931,0.00320706
0.05035247,0.00320829
0.05037539,0.00320952
0.05039798,0.00321072
0.0504203,0.00321186
0.05044235,0.003213
0.05046413,0.00321414
0.05048561,0.00321522
0.05050682,0.00321627
0.05052773,0.00321732
0.05054837,0.00321834
0.05056874,0.00321933
0.05058881,0.00322029
0.05060858,0.00322125
0.05062811,0.00322215
0.05064734,0.00322305
0.05066627,0.00322395
0.0506849,0.00322479
0.0507032,0.00322563
0.05072123,0.00322644
0.05073896,0.00322722
0.05075639,0.003228
0.05077346,0.00322875
0.05079023,0.00322947
0.0508067,0.00323019
0.05082284,0.00323088
0.05083859,0.00323154
0.0508541,0.00323217
0.05086919,0.0032328
0.05088392,0.0032334
0.05089832,0.003234
0.0509123,0.00323457
0.05092598,0.00323511
0.05093918,0.00323562
0.05095202,0.00323613
0.05096444,0.00323661
0.05097641,0.00323709
0.05098793,0.00323751
0.050999,0.00323793
0.05100953,0.00323835
0.05101964,0.00323871
0.05102915,0.00323907
0.05103809,0.0032394
0.05104643,0.0032397
0.05105408,0.00324
0.05106101,0.00324024
0.05106713,0.00324048
0.05107232,0.00324066
0.05107631,0.00324081
0.05107877,0.0032409
0.05108081,0.00324096
0.05108474,0.00324111
